Start Date,Duration,city,suburb,city_suburb,count,mean_duration,median_duration,max_duration,11_15,120_,16_20,1_5,21_25,26_30,31_40,41_50,51_60,61_120,6_10,weekend
2019-01-02,358875,2138,11813,5601,19552,18.354899754500817,13,6578,4253,129,2918,2837,1943,1001,626,276,177,358,5034,False
2019-01-03,361027,2436,12537,6373,21346,16.913098472781787,12,5551,4802,102,3349,3143,2096,970,514,224,148,251,5747,False
2019-01-04,344051,2366,12435,5865,20666,16.648166069873223,12,6088,4596,100,3114,3267,1870,886,488,221,134,284,5706,False
2019-01-05,253234,947,10070,2753,13770,18.39026870007262,12,4244,2736,147,1897,2377,1254,767,469,257,175,242,3449,True
2019-01-06,294908,921,10549,2661,14131,20.869577524591325,13,3390,2767,158,1976,2162,1518,796,607,299,183,431,3234,True
2019-01-07,373467,2845,15020,7588,25453,14.67280870624288,12,2290,6018,66,3947,3766,2370,1201,523,184,86,138,7154,False
2019-01-08,392790,3139,16220,8136,27495,14.285870158210583,12,643,6458,59,4284,4022,2715,1246,559,200,92,186,7674,False
2019-01-09,398803,2888,15645,7817,26350,15.13483870967742,12,8080,6075,61,4174,4092,2478,1164,545,174,75,92,7420,False
2019-01-10,377337,3006,15133,7654,25793,14.629434342651107,12,7465,6141,63,4029,4053,2305,1085,510,165,72,101,7269,False
2019-01-11,399740,3085,15658,7436,26179,15.269490813247259,12,5822,6072,94,3856,4031,2420,1155,594,211,117,198,7431,False
2019-01-12,320286,1172,12314,3086,16572,19.32693700217234,13,4665,3338,131,2276,2527,1705,970,667,336,207,385,4030,True
2019-01-13,336153,1058,11926,3144,16128,20.84281994047619,14,3702,3021,152,2240,2395,1657,1020,730,376,257,528,3752,True
2019-01-14,417992,3109,16211,8557,27877,14.994152885891594,12,1769,6483,79,4433,4030,2686,1254,623,212,126,177,7774,False
2019-01-15,420444,3225,17205,8671,29101,14.447750936393938,12,873,6805,69,4535,4324,2877,1342,626,219,89,193,8022,False
2019-01-16,365227,2824,14112,7367,24303,15.028062379130148,12,8903,5711,52,3835,3768,2160,1083,431,149,66,115,6933,False
2019-01-17,387745,3127,14942,7780,25849,15.000386862161012,12,6963,5907,72,3974,4039,2424,1126,513,188,74,192,7340,False
2019-01-18,386192,2932,15053,7352,25337,15.242214942574101,12,4487,5896,99,3737,4057,2210,1102,557,188,120,186,7185,False
2019-01-19,313955,1281,11883,3324,16488,19.041424065987385,13,3618,3238,115,2272,2717,1649,909,626,334,220,330,4078,True
2019-01-20,372320,1047,12658,2915,16620,22.401925391095066,14,3357,2975,212,2287,2300,1907,1115,901,425,301,600,3597,True
2019-01-21,384747,2950,15417,7986,26353,14.599741964861686,12,1448,6155,76,4211,4033,2388,1174,552,171,85,140,7368,False
2019-01-22,319300,2818,13090,6973,22881,13.954809667409641,12,756,5417,50,3540,3397,2104,1009,449,132,69,110,6604,False
2019-01-23,369642,3034,14499,7696,25229,14.651472511791985,11,5333,5891,62,3860,4090,2280,998,473,144,57,170,7204,False
2019-01-24,349808,2986,13853,7310,24149,14.485403122282497,12,4013,5702,56,3687,3756,2164,1024,442,118,61,124,7015,False
2019-01-25,381953,2748,14362,6870,23980,15.927981651376147,12,4755,5442,111,3622,3603,2101,1173,592,245,130,226,6735,False
2019-01-26,311984,1126,10900,2868,14894,20.946958506781254,13,3717,2879,153,2002,2332,1423,873,653,320,196,368,3695,True
