UnqID,ProgID,SurveyDescription,Easting,Northing,Location,Borough,Sarea,Counted2020,Counted2021,Counted2022,Counted2023,Counted2024,Counted2025
CENCY001,CENCY,Central area cycle surveys,530251,178742,Millbank (south of Thorney Street),Westminster,Central,,,,,,
CENCY002,CENCY,Central area cycle surveys,533363,181824,Bishopsgate,City of London,Central,,,,,,
CENCY003,CENCY,Central area cycle surveys,532334,180520,Southwark Bridge,Southwark,Central,,,,,,
CENCY004,CENCY,Central area cycle surveys,532053,179678,Southwark Bridge Road,Southwark,Central,,,,,,
CENCY005,CENCY,Central area cycle surveys,533032,180213,Tooley Street,Southwark,Central,,,,,,
CENCY006,CENCY,Central area cycle surveys,532264,180068,"Southwark Bridge Road (north, between Flat Iron Square and America Street)",Southwark,Central,,,,,,
CENCY007,CENCY,Central area cycle surveys,530468,178622,Albert Embankment (south of Salamanca Street),Lambeth,Central,,,,,,
CENCY008,CENCY,Central area cycle surveys,530347,180654,Strand,Westminster,Central,,,,,,
CENCY009,CENCY,Central area cycle surveys,529990,180677,Charing Cross Road,Westminster,Central,,,,,,
CENCY010,CENCY,Central area cycle surveys,530804,179489,Lambeth Palace Road,Lambeth,Central,,,,,,
CENCY011,CENCY,Central area cycle surveys,530147,180015,Whitehall (south of Horse Guards Avenue),Westminster,Central,,,,,,
CENCY012,CENCY,Central area cycle surveys,530574,179657,Westminster Bridge,Lambeth,Central,,,,,,
CENCY013,CENCY,Central area cycle surveys,530526,180526,Victoria Embankment (by Cleopatra's Needle),Westminster,Central,,,,,,
CENCY014,CENCY,Central area cycle surveys,530327,179838,Victoria Embankment (between Derby Gate and Westminster Bridge),Westminster,Central,,,,,,
CENCY015,CENCY,Central area cycle surveys,530202,179251,Millbank (north of Great Peter Street),Westminster,Central,,,,,,
CENCY016,CENCY,Central area cycle surveys,530398,178957,Lambeth Bridge,Westminster,Central,,,,,,
CENCY017,CENCY,Central area cycle surveys,530788,180527,Waterloo Bridge,Lambeth,Central,,,,,,
CENCY018,CENCY,Central area cycle surveys,529920,179493,Victoria Street,Westminster,Central,,,,,,
CENCY019,CENCY,Central area cycle surveys,530250,179666,Bridge Street,Westminster,Central,,,,,,
CENCY020,CENCY,Central area cycle surveys,529533,180245,Pall Mall,Westminster,Central,,,,,,
CENCY021,CENCY,Central area cycle surveys,528969,179397,Buckingham Palace Road,Westminster,Central,,,,,,
CENCY022,CENCY,Central area cycle surveys,530165,180355,Northumberland Avenue,Westminster,Central,,,,,,
CENCY023,CENCY,Central area cycle surveys,531158,179307,Kennington Road (north),Lambeth,Central,,,,,,
CENCY024,CENCY,Central area cycle surveys,530991,179112,Lambeth Road,Lambeth,Central,,,,,,
CENCY025,CENCY,Central area cycle surveys,531239,179007,Kennington Road (south of Brook Drive),Lambeth,Central,,,,,,
CENCY026,CENCY,Central area cycle surveys,531035,179521,Westminster Bridge Road,Lambeth,Central,,,,,,
CENCY027,CENCY,Central area cycle surveys,531451,179615,Waterloo Road,Southwark,Central,,,,,,
CENCY028,CENCY,Central area cycle surveys,531651,180066,Blackfriars Road (Southwark station),Southwark,Central,,,,,,
CENCY029,CENCY,Central area cycle surveys,531293,180817,Temple,City of London,Central,,,,,,
CENCY030,CENCY,Central area cycle surveys,531646,180576,Blackfriars Bridge,City of London,Central,,,,,,
CENCY031,CENCY,Central area cycle surveys,532837,180658,London Bridge,City of London,Central,,,,,,
CENCY032,CENCY,Central area cycle surveys,532580,180057,Borough High Street,Southwark,Central,,,,,,
CENCY033,CENCY,Central area cycle surveys,533262,179629,Bermondsey Street,Southwark,Central,,,,,,
CENCY034,CENCY,Central area cycle surveys,531829,179236,London Road,Southwark,Central,,,,,,
CENCY035,CENCY,Central area cycle surveys,531721,180348,Southwark Street,Southwark,Central,,,,,,
CENCY036,CENCY,Central area cycle surveys,531346,179259,Lambeth Road (west of St. George's Road),Southwark,Central,,,,,,
CENCY037,CENCY,Central area cycle surveys,531852,179482,Borough Road,Southwark,Central,,,,,,
CENCY038,CENCY,Central area cycle surveys,533678,180836,Minories,City of London,Central,,,,,,
CENCY039,CENCY,Central area cycle surveys,532949,180895,Gracechurch Street,City of London,Central,,,,,,
CENCY040,CENCY,Central area cycle surveys,531653,179549,Blackfriars Road,Southwark,Central,,,,,,
CENCY041,CENCY,Central area cycle surveys,531826,181393,Newgate Street,City of London,Central,,,,,,
CENCY042,CENCY,Central area cycle surveys,530921,181605,High Holborn,Camden,Central,,,,,,
CENCY043,CENCY,Central area cycle surveys,531279,181577,Holborn,City of London,Central,,,,,,
CENCY044,CENCY,Central area cycle surveys,531647,181040,New Bridge Street,City of London,Central,,,,,,
CENCY045,CENCY,Central area cycle surveys,531109,181106,Strand (east),Westminster,Central,,,,,,
CENCY046,CENCY,Central area cycle surveys,531103,182128,Rosebery Avenue (south),Camden,Central,,,,,,
CENCY047,CENCY,Central area cycle surveys,531288,182041,Clerkenwell Road (west),Camden,Central,,,,,,
CENCY048,CENCY,Central area cycle surveys,532764,181740,Moorgate,City of London,Central,,,,,,
CENCY049,CENCY,Central area cycle surveys,531595,181401,Farringdon Street,City of London,Central,,,,,,
CENCY050,CENCY,Central area cycle surveys,533641,181204,Aldgate High Street,City of London,Central,,,,,,
CENCY051,CENCY,Central area cycle surveys,530865,180976,Strand (west),Westminster,Central,,,,,,
CENCY052,CENCY,Central area cycle surveys,530715,181854,Theobald's Road,Camden,Central,,,,,,
CENCY053,CENCY,Central area cycle surveys,532817,182064,City Road,Islington,Central,,,,,,
CENCY054,CENCY,Central area cycle surveys,530584,181357,Kingsway,Camden,Central,,,,,,
CENCY055,CENCY,Central area cycle surveys,530666,180998,Aldwych,Westminster,Central,,,,,,
CENCY056,CENCY,Central area cycle surveys,530290,181555,Bloomsbury Way,Camden,Central,,,,,,
CENCY057,CENCY,Central area cycle surveys,530281,181909,Southampton Row,Camden,Central,,,,,,
CENCY058,CENCY,Central area cycle surveys,529989,181571,Bloomsbury Street,Camden,Central,,,,,,
CENCY059,CENCY,Central area cycle surveys,529338,182151,Tottenham Court Road (north),Camden,Central,,,,,,
CENCY060,CENCY,Central area cycle surveys,529695,181599,Tottenham Court Road (south),Camden,Central,,,,,,
CENCY061,CENCY,Central area cycle surveys,529488,181323,Oxford Street (east),Westminster,Central,,,,,,
CENCY062,CENCY,Central area cycle surveys,529856,181219,Charing Cross Road,Camden,Central,,,,,,
CENCY063,CENCY,Central area cycle surveys,529032,181189,Regent Street,Westminster,Central,,,,,,
CENCY064,CENCY,Central area cycle surveys,528235,181247,Wigmore Street,Westminster,Central,,,,,,
CENCY065,CENCY,Central area cycle surveys,529379,181655,Mortimer Street,Westminster,Central,,,,,,
CENCY066,CENCY,Central area cycle surveys,531520,181821,Farringdon Road (near station),Camden,Central,,,,,,
CENCY067,CENCY,Central area cycle surveys,531299,181348,Fetter Lane,City of London,Central,,,,,,
CENCY068,CENCY,Central area cycle surveys,531421,182750,Rosebery Avenue (north),Islington,Central,,,,,,
CENCY069,CENCY,Central area cycle surveys,532099,182025,Goswell Road (south),Islington,Central,,,,,,
CENCY071,CENCY,Central area cycle surveys,528827,181674,Portland Place,Westminster,Central,,,,,,
CENCY072,CENCY,Central area cycle surveys,529744,180897,Shaftesbury Avenue,Westminster,Central,,,,,,
CENCY073,CENCY,Central area cycle surveys,529948,182336,Tavistock Square (A4200),Camden,Central,,,,,,
CENCY074,CENCY,Central area cycle surveys,530738,182378,Grays Inn Road (north),Camden,Central,,,,,,
CENCY075,CENCY,Central area cycle surveys,528462,181105,Oxford Street (west),Westminster,Central,,,,,,
CENCY076,CENCY,Central area cycle surveys,527880,181587,Gloucester Place,Westminster,Central,,,,,,
CENCY077,CENCY,Central area cycle surveys,528046,181576,Baker Street,Westminster,Central,,,,,,
CENCY078,CENCY,Central area cycle surveys,528958,180259,Piccadilly,Westminster,Central,,,,,,
CENCY079,CENCY,Central area cycle surveys,530861,179909,York Road,Lambeth,Central,,,,,,
CENCY080,CENCY,Central area cycle surveys,531233,180261,Stamford Street,Lambeth,Central,,,,,,
CENCY081,CENCY,Central area cycle surveys,532641,179429,Great Dover Street,Southwark,Central,,,,,,
CENCY082,CENCY,Central area cycle surveys,533017,179512,Long Lane,Southwark,Central,,,,,,
CENCY083,CENCY,Central area cycle surveys,532402,179707,Borough High Street,Southwark,Central,,,,,,
CENCY084,CENCY,Central area cycle surveys,532476,180142,Southwark Street,Southwark,Central,,,,,,
CENCY085,CENCY,Central area cycle surveys,532070,179338,Newington Causeway,Southwark,Central,,,,,,
CENCY086,CENCY,Central area cycle surveys,532299,180851,Upper Thames Street (west of Southwark Bridge),City of London,Central,,,,,,
CENCY087,CENCY,Central area cycle surveys,533110,180659,Lower Thames Street,City of London,Central,,,,,,
CENCY088,CENCY,Central area cycle surveys,531813,182118,Clerkenwell Road (east),Islington,Central,,,,,,
CENCY089,CENCY,Central area cycle surveys,532385,182387,Old Street,Islington,Central,,,,,,
CENCY090,CENCY,Central area cycle surveys,531959,182331,Goswell Road (north),Islington,Central,,,,,,
CENCY091,CENCY,Central area cycle surveys,532500,181570,London Wall (west),City of London,Central,,,,,,
CENCY092,CENCY,Central area cycle surveys,532991,181479,London Wall (east),City of London,Central,,,,,,
CENCY093,CENCY,Central area cycle surveys,531069,181801,Grays Inn Road (south),Camden,Central,,,,,,
CENCY094,CENCY,Central area cycle surveys,533438,181325,Houndsditch,City of London,Central,,,,,,
CENCY095,CENCY,Central area cycle surveys,533375,181312,Bevis Marks,City of London,Central,,,,,,
CENCY096,CENCY,Central area cycle surveys,530948,182543,King's Cross Road,Camden,Central,,,,,,
CENCY097,CENCY,Central area cycle surveys,533312,179870,Crucifix Lane (Druid Street),Southwark,Central,,,,,,
CENCY098,CENCY,Central area cycle surveys,530074,178985,Horseferry Road (east of Tufton Street),Westminster,Central,,,,,,
CENCY099,CENCY,Central area cycle surveys,531470,179940,The Cut,Lambeth,Central,,,,,,
CENCY100,CENCY,Central area cycle surveys,532590,182275,Bunhill Row,Islington,Central,,,,,,
CENCY101,CENCY,Central area cycle surveys,531746,182195,St. John Street,Islington,Central,,,,,,
CENCY102,CENCY,Central area cycle surveys,530294,182373,Hunter Street,Camden,Central,,,,,,
CENCY103,CENCY,Central area cycle surveys,530456,181277,Great Queen Street,Camden,Central,,,,,,
CENCY104,CENCY,Central area cycle surveys,530893,182377,Calthorpe Street,Camden,Central,,,,,,
CENCY105,CENCY,Central area cycle surveys,528708,181111,New Bond Street,Westminster,Central,,,,,,
CENCY106,CENCY,Central area cycle surveys,529935,179294,Great Smith Street (north of Little Smith Street),Westminster,Central,,,,,,
CENCY107,CENCY,Central area cycle surveys,532304,181916,Beech Street,City of London,Central,,,,,,
CENCY108,CENCY,Central area cycle surveys,529899,181767,Montague Place,Camden,Central,,,,,,
CENCY109,CENCY,Central area cycle surveys,529481,179337,Buckingham Gate,Westminster,Central,,,,,,
