,Borough,Year,Quarter,Period,Normal_cycles,Hire_cycles,Total_cycles,Infras
,,,,,sum,sum,sum,mean
0,Camden,2017,Q1,AM peak (07:00-10:00),17794.0,2429.0,20223.0,2344.0
1,Camden,2017,Q1,Early Morning (06:00-07:00),932.0,107.0,1039.0,2344.0
2,Camden,2017,Q1,Evening (19:00-22:00),8144.0,703.0,8847.0,2344.0
3,Camden,2017,Q1,Inter-peak (10:00-16:00),10414.0,1243.0,11657.0,2344.0
4,Camden,2017,Q1,PM peak (16:00-19:00),18206.0,2176.0,20382.0,2344.0
5,Camden,2017,Q2,AM peak (07:00-10:00),18573.0,2280.0,20853.0,2344.0
6,Camden,2017,Q2,Early Morning (06:00-07:00),1135.0,139.0,1274.0,2344.0
7,Camden,2017,Q2,Evening (19:00-22:00),8323.0,862.0,9185.0,2344.0
8,Camden,2017,Q2,Inter-peak (10:00-16:00),11239.0,1556.0,12795.0,2344.0
9,Camden,2017,Q2,PM peak (16:00-19:00),18697.0,2343.0,21040.0,2344.0
10,Camden,2017,Q3,AM peak (07:00-10:00),20434.0,2624.0,23058.0,2344.0
11,Camden,2017,Q3,Early Morning (06:00-07:00),1269.0,149.0,1418.0,2344.0
12,Camden,2017,Q3,Evening (19:00-22:00),8887.0,907.0,9794.0,2344.0
13,Camden,2017,Q3,Inter-peak (10:00-16:00),12496.0,2022.0,14518.0,2344.0
14,Camden,2017,Q3,PM peak (16:00-19:00),20740.0,2700.0,23440.0,2344.0
15,Camden,2017,Q4,AM peak (07:00-10:00),16390.0,2321.0,18711.0,2344.0
16,Camden,2017,Q4,Early Morning (06:00-07:00),913.0,125.0,1038.0,2344.0
17,Camden,2017,Q4,Evening (19:00-22:00),7623.0,738.0,8361.0,2344.0
18,Camden,2017,Q4,Inter-peak (10:00-16:00),11811.0,1586.0,13397.0,2344.0
19,Camden,2017,Q4,PM peak (16:00-19:00),17040.0,2101.0,19141.0,2344.0
20,Camden,2018,Q1,AM peak (07:00-10:00),15188.0,1852.0,17040.0,59.0
21,Camden,2018,Q1,Early Morning (06:00-07:00),737.0,95.0,832.0,59.0
22,Camden,2018,Q1,Evening (19:00-22:00),7118.0,621.0,7739.0,59.0
23,Camden,2018,Q1,Inter-peak (10:00-16:00),9659.0,1144.0,10803.0,59.0
24,Camden,2018,Q1,PM peak (16:00-19:00),15636.0,1739.0,17375.0,59.0
25,Camden,2018,Q2,AM peak (07:00-10:00),20120.0,2467.0,22587.0,59.0
26,Camden,2018,Q2,Early Morning (06:00-07:00),1223.0,149.0,1372.0,59.0
27,Camden,2018,Q2,Evening (19:00-22:00),9394.0,923.0,10317.0,59.0
28,Camden,2018,Q2,Inter-peak (10:00-16:00),12352.0,1611.0,13963.0,59.0
29,Camden,2018,Q2,PM peak (16:00-19:00),20661.0,2624.0,23285.0,59.0
30,Camden,2018,Q3,AM peak (07:00-10:00),21611.0,2710.0,24321.0,59.0
31,Camden,2018,Q3,Early Morning (06:00-07:00),1293.0,141.0,1434.0,59.0
