Area name,2015
City of London,8760
Barking and Dagenham,201979
Barnet,379691
Bexley,242142
Brent,324012
Bromley,324857
Camden,241059
Croydon,379031
Ealing,343059
Enfield,328433
Greenwich,274803
Hackney,269009
Hammersmith and Fulham,179410
Haringey,272864
Harrow,247130
Havering,249085
Hillingdon,297735
Hounslow,268770
Islington,227692
Kensington and Chelsea,157711
Kingston upon Thames,173525
Lambeth,324431
Lewisham,297325
Merton,204565
Newham,332817
Redbridge,296793
Richmond upon Thames,194730
Southwark,308901
Sutton,200145
Tower Hamlets,295236
Waltham Forest,271170
Wandsworth,314544
Westminster,242299
