2019income,administrative-geography,Geography,2019 hour
68658,E09000033,Westminster,34.5
55426,E09000032,Wandsworth,34.6
34820,E09000031,Waltham Forest,32.9
50525,E09000030,Tower Hamlets,33.9
35865,E09000029,Sutton,32
42599,E09000028,Southwark,33.8
63093,E09000027,Richmond upon Thames,33.3
36610,E09000026,Redbridge,32.8
30068,E09000025,Newham,33.4
44039,E09000024,Merton,33.3
35571,E09000023,Lewisham,33
39910,E09000022,Lambeth,33.9
43733,E09000021,Kingston upon Thames,32.4
93053,E09000020,Kensington and Chelsea,34.5
51209,E09000019,Islington,34.3
34543,E09000018,Hounslow,33.5
31900,E09000017,Hillingdon,33.2
35435,E09000016,Havering,32.8
36461,E09000015,Harrow,32.5
36114,E09000014,Haringey,32.1
51500,E09000013,Hammersmith and Fulham,34.8
36296,E09000012,Hackney,32.3
41411,E09000011,Greenwich,33.2
31237,E92000001,England,32.3
31967,E09000010,Enfield,31.9
37550,E09000009,Ealing,33
34666,E09000008,Croydon,32.4
80390,E09000001,City of London,33.2
55173,E09000007,Camden,32.5
43824,E09000006,Bromley,32.3
33765,E09000005,Brent,33.4
36261,E09000004,Bexley,32.9
38728,E09000003,Barnet,31.8
26692,E09000002,Barking and Dagenham,31.8
