income2019,code,name,hour2019
54678,E09000033,Westminster,35.2
32947,E09000032,Wandsworth,33.5
27146,E09000031,Waltham Forest,31.7
62582,E09000030,Tower Hamlets,34.2
29142,E09000029,Sutton,31.7
43336,E09000028,Southwark,34.8
33388,E09000027,Richmond upon Thames,31
25369,E09000026,Redbridge,29.5
33609,E09000025,Newham,32.3
34368,E09000024,Merton,31.5
30052,E09000023,Lewisham,30.9
41200,E09000022,Lambeth,33.7
32152,E09000021,Kingston upon Thames,31.8
36471,E09000020,Kensington and Chelsea,34.7
47909,E09000019,Islington,34.3
44112,E09000018,Hounslow,33.7
35795,E09000017,Hillingdon,33.4
29521,E09000016,Havering,31.3
29683,E09000015,Harrow,30.6
28477,E09000014,Haringey,32.1
41880,E09000013,Hammersmith and Fulham,33.7
34599,E09000012,Hackney,33.2
29149,E09000011,Greenwich,29.5
26719,E09000010,Enfield,30.3
30314,E09000009,Ealing,32.8
31896,E09000008,Croydon,32.1
84390,E09000001,City of London,35.8
43547,E09000007,Camden,33.7
29427,E09000006,Bromley,31
30884,E09000005,Brent,33.4
27268,E09000004,Bexley,32
28806,E09000003,Barnet,29.3
26011,E09000002,Barking and Dagenham,31.4
