ONS area code,Road Name,2019,2020,change%
E09000002 ,A1083,98.8,68.4,-0.308
E09000002 ,A1112,103.5,87.1,-0.158
E09000002 ,A1153,91.4,71.4,-0.219
E09000002 ,A118,153.9,141.9,-0.078
E09000002 ,A123,101.9,91.4,-0.103
E09000002 ,A124,86.6,78.2,-0.097
E09000002 ,A1240,154.5,122.7,-0.206
E09000002 ,A13,51.6,38.5,-0.254
E09000002 ,A1306,106.6,86.5,-0.189
E09000003 ,A1,102.5,38.7,-0.622
E09000003 ,A1000,92.7,75.4,-0.187
E09000003 ,A1003,132.2,109.7,-0.17
E09000003 ,A109,77.1,67,-0.131
E09000003 ,A110,73.6,63.6,-0.136
E09000003 ,A406,65.4,53.4,-0.183
E09000003 ,A407,203.6,174.9,-0.141
E09000003 ,A41,86.1,52.2,-0.394
E09000003 ,A411,82.9,61.8,-0.255
E09000003 ,A5,96.6,135.5,0.403
E09000003 ,A502,129.7,114.9,-0.114
E09000003 ,A504,95.1,78.2,-0.178
E09000003 ,A5100,127.5,105,-0.176
E09000003 ,A5109,60.4,46,-0.238
E09000003 ,A5150,66.2,61.1,-0.077
E09000003 ,A598,128.5,111.1,-0.135
E09000004 ,A2,16.4,11.9,-0.274
E09000004 ,A20,21.2,17.8,-0.16
E09000004 ,A2000,69.4,56.7,-0.183
E09000004 ,A2016,18,17.2,-0.044
E09000004 ,A2018,41.6,29.3,-0.296
E09000004 ,A2041,68.7,39.8,-0.421
E09000004 ,A206,64.4,58.2,-0.096
E09000004 ,A207,106.7,90.8,-0.149
E09000004 ,A209,67.6,64.1,-0.052
E09000004 ,A210,90.5,78.2,-0.136
E09000004 ,A211,64,59.3,-0.073
E09000004 ,A220,63.4,54.7,-0.137
E09000004 ,A221,80.3,65.1,-0.189
E09000004 ,A222,85.1,71.8,-0.156
E09000004 ,A223,31,23.4,-0.245
E09000005 ,A4003,100.4,82,-0.183
E09000005 ,A4005,66.7,48.1,-0.279
E09000005 ,A4006,103.4,85,-0.178
E09000005 ,A404,98.4,92.9,-0.056
E09000005 ,A406,47.1,37.5,-0.204
E09000005 ,A407,127.5,115.6,-0.093
E09000005 ,A4088,132.3,109.2,-0.175
E09000005 ,A4089,170.8,145,-0.151
E09000005 ,A4140,45.9,33.8,-0.264
E09000005 ,A5,162.2,143.9,-0.113
E09000006 ,A20,13.2,10,-0.242
E09000006 ,A2015,88.6,85.8,-0.032
E09000006 ,A2022,43.2,33.9,-0.215
E09000006 ,A208,54,44.2,-0.181
E09000006 ,A21,45.8,36.8,-0.197
E09000006 ,A213,102.7,93.4,-0.091
E09000006 ,A214,80.3,67.4,-0.161
E09000006 ,A2212,43.1,43.1,0
E09000006 ,A222,77.2,61.2,-0.207
E09000006 ,A223,43.1,37.4,-0.132
E09000006 ,A224,53.8,43.1,-0.199
E09000006 ,A232,73.2,56.6,-0.227
E09000006 ,A233,37.3,31.2,-0.164
E09000006 ,A234,78.9,73.8,-0.065
