date,driving,transit,walking
13/01/2020,100,100,100
14/01/2020,107.65,105.14,108.89
15/01/2020,111.2,107.06,116.84
16/01/2020,108.29,106.08,118.82
17/01/2020,115.08,115.13,132.18
18/01/2020,122.2,126.63,160.29
19/01/2020,101.06,104.37,105.12
20/01/2020,105.14,103.68,108.02
21/01/2020,112.18,109.45,120.52
22/01/2020,114.32,112.85,124.81
23/01/2020,111.18,111.52,127.01
24/01/2020,118.01,120.06,137.38
25/01/2020,124.14,130.78,162.41
26/01/2020,99.42,105.11,97.16
27/01/2020,103.01,103.7,100.01
28/01/2020,105.92,105.84,113.27
29/01/2020,108.66,110.18,122.75
30/01/2020,109.46,111.72,124.96
31/01/2020,118.35,124.67,144.13
01/02/2020,121.48,129.92,161.17
02/02/2020,103.99,111.18,103.93
03/02/2020,101.6,104.18,105.67
04/02/2020,105.72,107.19,115.03
05/02/2020,110.51,111.08,125.42
06/02/2020,110.47,111.71,128.43
07/02/2020,115.7,120.48,140.65
08/02/2020,123.02,134.34,167.8
09/02/2020,96.79,103.13,76.79
10/02/2020,107.55,106.62,100.51
11/02/2020,109.8,109.07,115.26
12/02/2020,110.74,111.2,125.35
13/02/2020,115.47,110.18,124.69
14/02/2020,124.92,123.91,150.77
15/02/2020,120.86,131.79,149.35
16/02/2020,105.1,116.64,96.03
17/02/2020,121.24,123.55,131.2
18/02/2020,120.38,122.11,131.72
19/02/2020,122.6,125.12,137.59
20/02/2020,123.31,124.27,136.05
21/02/2020,129.1,133.95,153.95
22/02/2020,128.6,141.61,170.22
23/02/2020,105.81,111.26,104.41
24/02/2020,106.45,107.64,104.32
25/02/2020,108.69,109.44,119.88
26/02/2020,110.88,110.17,125.12
27/02/2020,111.38,111.27,123.88
28/02/2020,123.68,122.41,133.76
29/02/2020,127.92,129.48,153.92
01/03/2020,106.82,109.14,109.26
02/03/2020,103.19,102.74,103.64
03/03/2020,107.89,105.44,114.68
04/03/2020,111.68,106.93,114.25
05/03/2020,112.97,106.97,106.5
06/03/2020,122.13,118.77,142.09
07/03/2020,125.74,127.78,167.1
08/03/2020,99.51,100.86,96.86
09/03/2020,99.57,98.05,97.5
10/03/2020,101.66,99.47,105.54
11/03/2020,100.34,94.33,106.91
12/03/2020,94.95,86.28,98.87
13/03/2020,97.41,89.95,104.19
14/03/2020,96.71,94.84,117.44
15/03/2020,73.16,67.46,64.28
16/03/2020,75.92,57.95,64.53
17/03/2020,67.18,46.33,48.95
18/03/2020,64.19,40.32,43.31
19/03/2020,65.75,38.7,38.76
20/03/2020,61.08,34.64,37.49
21/03/2020,50.11,28.01,37.36
22/03/2020,41.9,25.9,30.76
23/03/2020,47.76,24.44,31.25
24/03/2020,35.82,17.15,24.63
25/03/2020,34.12,15.43,24.09
26/03/2020,31.86,14.49,22.89
27/03/2020,32.41,14.05,23.4
28/03/2020,26.99,13.6,23.4
29/03/2020,23.29,13.3,17.83
30/03/2020,29.43,14.16,19.72
31/03/2020,30.57,13.92,22.29
01/04/2020,30.5,13.66,22.19
02/04/2020,30.63,13.65,22.76
03/04/2020,32.55,13.36,24.34
04/04/2020,28.46,12.51,28.49
05/04/2020,25.7,12.83,26.06
06/04/2020,31.02,13.65,21.63
07/04/2020,32.09,13.36,24.64
08/04/2020,32.6,13.18,23.87
09/04/2020,33.37,13.25,26.13
10/04/2020,29.84,12.7,28.59
11/04/2020,28.14,12.1,28.58
12/04/2020,22.54,11.21,22.86
13/04/2020,26.93,12.72,22.8
14/04/2020,34.12,13.72,25.66
15/04/2020,35.22,13.91,27.44
16/04/2020,35.09,13.62,26.4
17/04/2020,34.98,13.17,23.27
18/04/2020,30.72,12.6,26.36
19/04/2020,29.98,13.58,30.4
20/04/2020,35.52,14.78,26.56
21/04/2020,36.16,14.7,26.45
22/04/2020,37.1,14.73,27.74
23/04/2020,37.52,14.85,27.79
24/04/2020,39.34,14.57,28.31
25/04/2020,34.77,14.42,32.12
26/04/2020,32.98,15.21,32.09
27/04/2020,37.17,15.41,24.59
28/04/2020,35.38,14.57,18.51
29/04/2020,37.2,15.04,22.16
30/04/2020,37.57,14.84,20.88
01/05/2020,40.43,15.62,25
02/05/2020,37.98,15.94,34.33
03/05/2020,33.7,16.21,27.38
04/05/2020,40.01,17.38,27.3
05/05/2020,41.84,17.57,28.09
06/05/2020,42.93,17.49,30.04
07/05/2020,43.56,17.67,30.98
08/05/2020,40.52,17.78,37.92
09/05/2020,40.53,18.45,40.92
10/05/2020,36.76,17.92,27.7
11/05/2020,,,
12/05/2020,,,
13/05/2020,48.96,19.95,31.43
14/05/2020,50.41,19.73,32.55
15/05/2020,55.15,20.81,37.94
16/05/2020,53.53,20.38,42.93
17/05/2020,51.94,21.57,41.36
18/05/2020,55.22,23.72,38.38
19/05/2020,58.66,23.93,40.69
20/05/2020,61.69,25.82,42.97
21/05/2020,60.28,24.67,39.41
22/05/2020,64.74,25.06,42.71
23/05/2020,60.05,24.28,43.69
24/05/2020,57.42,24.9,44.9
25/05/2020,65.47,29.48,51.69
26/05/2020,67.38,29.31,44.11
27/05/2020,67.55,28.33,43.93
28/05/2020,71.08,29.02,45.73
29/05/2020,73.99,30.22,49.3
30/05/2020,72.93,31.42,58.3
31/05/2020,66.66,31.19,48.5
01/06/2020,69.5,32.18,45.67
02/06/2020,71.41,32.59,47.53
03/06/2020,66.58,31.34,40.6
04/06/2020,66.54,29.03,39.53
05/06/2020,70.69,30.35,41.52
06/06/2020,66.69,31.14,43.07
07/06/2020,62.9,30.97,41.9
08/06/2020,67.38,31.01,41.4
09/06/2020,70.64,31.85,45.35
10/06/2020,66.57,30.17,36.09
11/06/2020,68.02,30.24,39.62
12/06/2020,74.47,33.37,43.84
13/06/2020,82.27,36.8,63.42
14/06/2020,71.42,35,49.37
15/06/2020,74.5,36.31,48.64
16/06/2020,74.99,35.46,47.76
17/06/2020,73.62,34.33,42.37
18/06/2020,74.41,35.35,42.36
19/06/2020,82.88,38.17,50.43
20/06/2020,86.88,41.19,63.68
21/06/2020,71.02,35.95,42.86
22/06/2020,83.57,42.1,53.72
23/06/2020,87.03,44.45,56.26
24/06/2020,90.55,46.58,57.67
25/06/2020,92.01,48.25,57.66
26/06/2020,96.68,47.16,59.9
27/06/2020,85.93,44.12,54.54
28/06/2020,79.55,41.37,47.73
29/06/2020,81.79,43.61,49.55
30/06/2020,83.32,42.79,48.58
