areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
region,London,E12000007,11/02/2020,1,1,,
region,London,E12000007,12/02/2020,0,1,,
region,London,E12000007,13/02/2020,0,1,,
region,London,E12000007,14/02/2020,0,1,,
region,London,E12000007,15/02/2020,0,1,,
region,London,E12000007,16/02/2020,0,1,,
region,London,E12000007,17/02/2020,0,1,,
region,London,E12000007,18/02/2020,0,1,,
region,London,E12000007,19/02/2020,0,1,,
region,London,E12000007,20/02/2020,0,1,,
region,London,E12000007,21/02/2020,0,1,,
region,London,E12000007,22/02/2020,0,1,,
region,London,E12000007,23/02/2020,0,1,,
region,London,E12000007,24/02/2020,1,2,,
region,London,E12000007,25/02/2020,3,5,,
region,London,E12000007,26/02/2020,2,7,,
region,London,E12000007,27/02/2020,2,9,,
region,London,E12000007,28/02/2020,3,12,,
region,London,E12000007,29/02/2020,1,13,,
region,London,E12000007,01/03/2020,4,17,,
region,London,E12000007,02/03/2020,12,29,,
region,London,E12000007,03/03/2020,6,35,,
region,London,E12000007,04/03/2020,18,53,,
region,London,E12000007,05/03/2020,14,67,,
region,London,E12000007,06/03/2020,24,91,,
region,London,E12000007,07/03/2020,15,106,,
region,London,E12000007,08/03/2020,22,128,,
region,London,E12000007,09/03/2020,53,181,2,2
region,London,E12000007,10/03/2020,92,273,1,3
region,London,E12000007,11/03/2020,183,456,4,7
region,London,E12000007,12/03/2020,164,620,6,13
region,London,E12000007,13/03/2020,135,755,6,19
region,London,E12000007,14/03/2020,150,905,11,30
region,London,E12000007,15/03/2020,165,1070,9,39
region,London,E12000007,16/03/2020,233,1303,15,54
region,London,E12000007,17/03/2020,311,1614,23,77
region,London,E12000007,18/03/2020,355,1969,26,103
region,London,E12000007,19/03/2020,332,2301,25,128
region,London,E12000007,20/03/2020,426,2727,45,173
region,London,E12000007,21/03/2020,350,3077,46,219
region,London,E12000007,22/03/2020,438,3515,53,272
region,London,E12000007,23/03/2020,689,4204,56,328
region,London,E12000007,24/03/2020,635,4839,88,416
region,London,E12000007,25/03/2020,761,5600,116,532
region,London,E12000007,26/03/2020,767,6367,123,655
region,London,E12000007,27/03/2020,818,7185,126,781
region,London,E12000007,28/03/2020,576,7761,120,901
region,London,E12000007,29/03/2020,596,8357,141,1042
region,London,E12000007,30/03/2020,867,9224,152,1194
region,London,E12000007,31/03/2020,936,10160,178,1372
region,London,E12000007,01/04/2020,979,11139,189,1561
region,London,E12000007,02/04/2020,1070,12209,195,1756
region,London,E12000007,03/04/2020,982,13191,190,1946
region,London,E12000007,04/04/2020,766,13957,225,2171
region,London,E12000007,05/04/2020,632,14589,196,2367
region,London,E12000007,06/04/2020,860,15449,195,2562
region,London,E12000007,07/04/2020,952,16401,221,2783
region,London,E12000007,08/04/2020,875,17276,231,3014
region,London,E12000007,09/04/2020,801,18077,198,3212
region,London,E12000007,10/04/2020,619,18696,173,3385
region,London,E12000007,11/04/2020,522,19218,165,3550
region,London,E12000007,12/04/2020,501,19719,169,3719
region,London,E12000007,13/04/2020,598,20317,170,3889
region,London,E12000007,14/04/2020,597,20914,143,4032
region,London,E12000007,15/04/2020,659,21573,147,4179
region,London,E12000007,16/04/2020,576,22149,140,4319
region,London,E12000007,17/04/2020,579,22728,109,4428
region,London,E12000007,18/04/2020,401,23129,116,4544
region,London,E12000007,19/04/2020,395,23524,115,4659
region,London,E12000007,20/04/2020,435,23959,97,4756
region,London,E12000007,21/04/2020,466,24425,103,4859
region,London,E12000007,22/04/2020,399,24824,111,4970
region,London,E12000007,23/04/2020,521,25345,76,5046
region,London,E12000007,24/04/2020,378,25723,74,5120
region,London,E12000007,25/04/2020,333,26056,60,5180
region,London,E12000007,26/04/2020,311,26367,64,5244
region,London,E12000007,27/04/2020,418,26785,53,5297
region,London,E12000007,28/04/2020,311,27096,59,5356
region,London,E12000007,29/04/2020,428,27524,52,5408
region,London,E12000007,30/04/2020,423,27947,44,5452
region,London,E12000007,01/05/2020,354,28301,43,5495
region,London,E12000007,02/05/2020,248,28549,53,5548
region,London,E12000007,03/05/2020,168,28717,42,5590
region,London,E12000007,04/05/2020,246,28963,38,5628
region,London,E12000007,05/05/2020,216,29179,33,5661
region,London,E12000007,06/05/2020,267,29446,42,5703
region,London,E12000007,07/05/2020,271,29717,28,5731
region,London,E12000007,08/05/2020,206,29923,29,5760
